self_id,,target_id,,gt,tx1,rx1,tx2,rx2,tx3,rx3,,,target_id,ts,gt,tx1,rx1,tx2,rx2,tx3,rx3
,,,518705126.664995,1,937508142.451009,937507895.787651,472128797.779083,472128801.115725,249701284.576603,249701287.913245,,,,785034280.250991,1,581063724.819219,581063978.155861,15504017.8670488,15504021.2036904,501798583.075486,501798586.412128
,,,519705126.664995,1,918176046.74674,918175800.083381,825214273.679471,825214277.016113,703155577.599993,703155580.936635,,,,786034280.250991,1,595234702.991893,595234956.328534,989584864.53675,989584867.873392,266557027.898282,266557031.234923
,,,520705126.664995,1,754410065.502625,754409818.839267,174985316.640354,174985319.976995,717590074.580759,717590077.917401,,,,787034280.250991,1,590182196.215515,590182449.552157,951164913.589403,951164916.926044,361667412.940353,361667416.276995
,,,521705126.664995,1,871460150.065095,871459903.401736,726243191.389687,726243194.726328,193843140.592108,193843143.92875,,,,788034280.250991,1,46820122.8929376,46820376.2295792,993487952.452016,993487955.788658,377765945.69801,377765949.034652
,,,522705126.664995,1,424278043.441835,424277796.778477,553875669.303826,553875672.640468,269928632.555338,269928635.89198,,,,789034280.250991,1,232406059.527001,232406312.863643,585934458.422134,585934461.758775,924129412.273894,924129415.610536
,,,523705126.664995,1,844052485.256421,844052238.593063,129534148.549378,129534151.88602,424180989.347163,424180992.683805,,,,790034280.250991,1,997047046.660016,997047299.996657,833616233.296548,833616236.633189,189176614.836301,189176618.172943
,,,524705126.664995,1,159663972.207785,159663725.544426,448545485.096629,448545488.433271,16299988.3743247,16299991.7109663,,,,791034280.250991,1,462656804.139566,462657057.476207,548741322.648278,548741325.984919,830818370.652746,830818373.989387
,,,525705126.664995,1,687998428.99192,687998182.328562,820846875.095097,820846878.431738,454826912.614042,454826915.950684,,,,792034280.250991,1,763989802.807681,763990056.144323,349101013.994659,349101017.331301,350172751.235363,350172754.572005
,,,526705126.664995,1,836725831.402146,836725584.738788,662745848.013724,662745851.350366,32994970.830079,32994974.1667207,,,,793034280.250991,1,930490685.081145,930490938.417787,4839254.62240533,4839257.95904698,323553139.544287,323553142.880929
,,,527705126.664995,1,256055012.83474,256054766.171382,731136062.065815,731136065.402457,622015907.268905,622015910.605546,,,,794034280.250991,1,973317260.13113,973317513.467771,337899867.962296,337899871.298938,512956745.38228,512956748.718922
,,,528705126.664995,1,627675613.04601,627675366.382652,976685577.558988,976685580.89563,670796802.313396,670796805.650038,,,,795034280.250991,1,333926244.823196,333926498.159837,801399163.635599,801399166.972241,355733973.231026,355733976.567667
,,,529705126.664995,1,386028333.878034,386028087.214675,463252279.378328,463252282.71497,888612613.473507,888612616.810148,,,,796034280.250991,1,281347124.14839,281347377.485031,194731235.396644,194731238.733286,987512821.148466,987512824.485107
,,,530705126.664995,1,885941560.398499,885941313.73514,617230590.958789,617230594.295431,215831685.505978,215831688.842619,,,,797034280.250991,1,869240837.538439,869241090.87508,575177305.333012,575177308.669654,551728475.147524,551728478.484166
,,,531705126.664995,1,272480299.414227,272480052.750869,340480289.018869,340480292.355511,186669981.626184,186669984.962826,,,,798034280.250991,1,423347194.395349,423347447.731991,834699870.289522,834699873.626163,394177798.950254,394177802.286896
,,,532705126.664995,1,106312592.260008,106312345.59665,871899507.258173,871899510.594814,213390256.638708,213390259.97535,,,,799034280.250991,1,163882633.020881,163882886.357522,246494711.153667,246494714.490308,402861204.153072,402861207.489714
,,,533705126.664995,1,508116386.725285,508116140.061927,689141903.207479,689141906.54412,457500066.214206,457500069.550847,,,,800034280.250991,1,693672636.340323,693672889.676964,577509568.200025,577509571.536667,126837286.011651,126837289.348292
,,,534705126.664995,1,189611065.989767,189610819.326408,873516576.078229,873516579.414871,61884398.7584749,61884402.0951166,,,,801034280.250991,1,406358310.098859,406358563.435501,649351484.218216,649351487.554857,860044119.753761,860044123.090403
,,,535705126.664995,1,670135856.806216,670135610.142858,930190871.307329,930190874.643971,275610247.22484,275610250.561482,,,,802034280.250991,1,173975199.355231,173975452.691873,429404347.506922,429404350.843563,244347001.278578,244347004.615219
,,,536705126.664995,1,287302889.258826,287302642.595467,401957856.096266,401957859.432907,969441558.877852,969441562.214494,,,,803034280.250991,1,244382584.745688,244382838.08233,394818210.384176,394818213.720818,686514173.331748,686514176.66839
,,,537705126.664995,1,485783885.439905,485783638.776547,400083868.933676,400083872.270318,638304290.162096,638304293.498738,,,,804034280.250991,1,126584556.675279,126584810.01192,40122754.8518216,40122758.1884633,211040104.601123,211040107.937764
,,,538705126.664995,1,858196823.222345,858196576.558987,406708650.031734,406708653.368375,834397799.289565,834397802.626206,,,,805034280.250991,1,119274961.083561,119275214.420203,420263329.679033,420263333.015674,211162283.359551,211162286.696193
,,,539705126.664995,1,924177686.757381,924177440.094022,809080029.618885,809080032.955527,107803133.091176,107803136.427817,,,,806034280.250991,1,936811311.476112,936811564.812754,845413822.401068,845413825.73771,799174108.042008,799174111.37865
,,,540705126.664995,1,150588219.95418,150587973.290822,962891998.472261,962892001.808903,514988720.586512,514988723.923154,,,,807034280.250991,1,224562118.626534,224562371.963176,667945769.342515,667945772.679157,588168618.340736,588168621.677378
,,,541705126.664995,1,877977591.516803,877977344.853444,869863749.596879,869863752.933521,92521431.2482004,92521434.584842,,,,808034280.250991,1,650442593.947413,650442847.284055,863050999.006863,863051002.343505,54823075.5515782,54823078.8882198
,,,542705126.664995,1,618566157.061667,618565910.398309,417014652.133288,417014655.46993,879986928.559422,879986931.896064,,,,809034280.250991,1,536008489.206317,536008742.542959,473804723.207922,473804726.544564,775425825.169592,775425828.506234
,,,543705126.664995,1,371813379.285139,371813132.62178,388933922.041645,388933925.378286,956035597.335253,956035600.671894,,,,810034280.250991,1,524416163.569757,524416416.906399,989454953.92383,989454957.260472,799856048.574592,799856051.911234
,,,544705126.664995,1,394654570.093078,394654323.429719,104096013.332859,104096016.669501,416870099.259496,416870102.596138,,,,811034280.250991,1,219769031.678419,219769285.01506,28624626.9031359,28624630.2397776,580532016.913798,580532020.25044
,,,545705126.664995,1,677389020.698403,677388774.035044,863151206.358056,863151209.694698,462861752.52058,462861755.857221,,,,812034280.250991,1,419067183.949456,419067437.286097,237962269.627454,237962272.964096,275741465.210763,275741468.547405
,,,546705126.664995,1,29440702.0583661,29440455.3950078,979830935.553302,979830938.889944,733930017.090459,733930020.427101,,,,813034280.250991,1,640806205.799479,640806459.136121,593966248.904944,593966252.241586,77540626.1581731,77540629.4948148
,,,547705126.664995,1,68189526.4194161,68189279.7560577,675966477.243823,675966480.580465,563719534.14274,563719537.479382,,,,814034280.250991,1,837171219.773914,837171473.110556,922844921.584585,922844924.921226,901301100.459347,901301103.795989
,,,548705126.664995,1,581532954.836443,581532708.173085,266793319.824644,266793323.161285,370095168.197295,370095171.533937,,,,815034280.250991,1,757539322.904581,757539576.241222,849811999.269356,849812002.605997,249330053.224635,249330056.561276
,,,549705126.664995,1,720238289.384532,720238042.721174,93931931.9689449,93931935.3055866,5726277.36531797,5726280.70195962,,,,816034280.250991,1,874792770.859408,874793024.19605,189366877.00307,189366880.339711,804444812.342521,804444815.679162
,,,550705126.664995,1,322257101.000098,322256854.33674,943777327.57378,943777330.910422,376409183.961827,376409187.298469,,,,817034280.250991,1,304775895.627701,304776148.964343,877441675.829919,877441679.166561,320501862.223221,320501865.559863
,,,551705126.664995,1,182518051.330564,182517804.667205,322921151.474753,322921154.811394,999534920.037421,999534923.374063,,,,818034280.250991,1,775634882.341054,775635135.677696,58311755.3490707,58311758.6857123,36763541.7492508,36763545.0858924
,,,552705126.664995,1,434114372.316048,434114125.65269,39617067.3560176,39617070.6926593,305192964.987954,305192968.324596,,,,819034280.250991,1,672177436.737984,672177690.074625,725606347.866266,725606351.202908,867374102.31876,867374105.655401
,,,553705126.664995,1,981314568.323934,981314321.660576,757607372.160538,757607375.49718,86751447.5856858,86751450.9223275,,,,820034280.250991,1,391170978.823704,391171232.160346,236424785.034674,236424788.371316,448643320.318043,448643323.654685
,,,554705126.664995,1,161316193.30701,161315946.643652,877949486.448617,877949489.785258,859419405.029578,859419408.36622,,,,821034280.250991,1,988628006.472717,988628259.809358,624663285.496456,624663288.833098,619545789.719079,619545793.055721
,,,555705126.664995,1,38361517.4032735,38361270.7399152,325710306.959862,325710310.296503,277581794.16938,277581797.506022,,,,822034280.250991,1,31889448.4322687,31889701.7689103,69777898.6900752,69777902.0267169,517542980.442441,517542983.779082
,,,556705126.664995,1,558453937.065725,558453690.402367,911987033.840278,911987037.176919,11417385.1343508,11417388.4709924,,,,823034280.250991,1,336826548.122896,336826801.459538,560349257.068431,560349260.405073,188697478.365492,188697481.702134
,,,557705126.664995,1,491644846.736482,491644600.073124,371067819.882502,371067823.219144,6725226.70968444,6725230.04632608,,,,824034280.250991,1,350020246.439158,350020499.775799,788216587.65545,788216590.992091,872606744.93968,872606748.276322
,,,558705126.664995,1,490392383.40736,490392136.744002,402485527.709168,402485531.045809,587489264.896267,587489268.232908,,,,825034280.250991,1,886102873.939572,886103127.276214,954980876.689725,954980880.026367,938609262.642436,938609265.979078
,,,559705126.664995,1,996919441.27539,996919194.612032,942317149.877837,942317153.214478,325826947.977917,325826951.314558,,,,826034280.250991,1,866288929.344421,866289182.681062,273045366.159956,273045369.496598,811120047.475861,811120050.812502
,,,560705126.664995,1,556336402.310293,556336155.646935,934386788.138809,934386791.47545,777885329.990617,777885333.327259,,,,827034280.250991,1,494106640.366204,494106893.702846,624129558.222812,624129561.559453,278178513.213531,278178516.550173
,,,561705126.664995,1,292352905.480271,292352658.816912,357790381.306222,357790384.642864,360812800.295433,360812803.632075,,,,828034280.250991,1,23119267.105633,23119520.4422746,61594144.6873793,61594148.024021,741379211.091672,741379214.428314
,,,562705126.664995,1,703427035.710826,703426789.047468,205809727.316583,205809730.653225,736755170.678411,736755174.015052,,,,829034280.250991,1,573426472.354108,573426725.69075,778459424.251192,778459427.587833,811748548.971469,811748552.30811
,,,563705126.664995,1,858257554.968423,858257308.305065,153729475.848526,153729479.185168,137305879.101992,137305882.438633,,,,830034280.250991,1,965867410.471328,965867663.80797,924643645.086505,924643648.423147,227186633.444747,227186636.781389
,,,564705126.664995,1,404244106.77373,404243860.110372,977429575.794574,977429579.131215,593069185.919801,593069189.256443,,,,831034280.250991,1,190970429.223861,190970682.560503,107470962.431807,107470965.768449,404049665.824666,404049669.161307
,,,565705126.664995,1,191569965.874671,191569719.211313,352709944.820614,352709948.157256,180013928.584886,180013931.921527,,,,832034280.250991,1,959636775.433395,959637028.770037,304270923.86913,304270927.205771,922212366.040375,922212369.377017
,,,566705126.664995,1,489095112.686711,489094866.023353,657118925.94112,657118929.277762,442020597.242755,442020600.579397,,,,833034280.250991,1,476908756.045504,476909009.382145,41994525.9906102,41994529.3272518,688707094.908625,688707098.245267
,,,464929094.10882,1,968216000.03801,968215753.374651,852686302.027188,852686305.36383,270938792.977943,270938796.314584,,,,320933956.341591,1,463942051.961095,463942305.297737,43382913.0559262,43382916.3925678,132300897.322707,132300900.659349
,,,465929094.10882,1,201160003.220588,201159756.55723,197441383.918259,197441387.254901,123444774.817323,123444778.153965,,,,321933956.341591,1,693625807.145292,693626060.481933,809416798.795083,809416802.131725,864801188.227375,864801191.564016
,,,466929094.10882,1,725634634.057567,725634387.394209,454864903.502939,454864906.839581,461128904.180576,461128907.517218,,,,322933956.341591,1,358784339.801872,358784593.138514,413570036.823381,413570040.160023,404950416.829971,404950420.166613
,,,467929094.10882,1,835188734.690913,835188488.027555,326220324.283539,326220327.620181,10608062.3571562,10608065.6937978,,,,323933956.341591,1,610436442.687863,610436696.024505,383788638.799174,383788642.135816,218501906.400726,218501909.737367
,,,468929094.10882,1,979456309.752954,979456063.089596,838233139.441369,838233142.778011,24403647.0648256,24403650.4014672,,,,324933956.341591,1,670259664.365247,670259917.701888,674085826.380906,674085829.717548,442861011.613583,442861014.950225
,,,469929094.10882,1,781278573.701523,781278327.038165,184989250.494125,184989253.830766,130569656.086806,130569659.423447,,,,325933956.341591,1,243101192.661302,243101445.997944,766620476.498995,766620479.835636,606753717.257376,606753720.594018
,,,470929094.10882,1,964997387.51655,964997140.853192,711354677.704346,711354681.040988,496070439.424301,496070442.760942,,,,326933956.341591,1,533039703.36922,533039956.705862,536815958.345326,536815961.681967,25117259.5501109,25117262.8867526
,,,471929094.10882,1,481821385.366874,481821138.703516,634426199.39393,634426202.730571,825152892.888857,825152896.225499,,,,327933956.341591,1,868654392.25843,868654645.595072,66621824.768476,66621828.1051176,39969445.5296883,39969448.8663299
,,,472929094.10882,1,286738219.183593,286737972.520235,811798301.692932,811798305.029574,978915085.074612,978915088.411253,,,,328933956.341591,1,69423388.8611987,69423642.1978403,982950945.102218,982950948.438859,947792385.102213,947792388.438855
,,,473929094.10882,1,249990331.160256,249990084.496898,133006422.72832,133006426.064961,394444321.716072,394444325.052713,,,,329933956.341591,1,428460248.578874,428460501.915516,293560708.75845,293560712.095092,541292101.352849,541292104.68949
,,,474929094.10882,1,440914749.14858,440914502.485222,66322357.849212,66322361.1858537,450854366.385899,450854369.72254,,,,330933956.341591,1,121246230.100434,121246483.437076,746980226.560872,746980229.897514,228836194.962207,228836198.298849
,,,475929094.10882,1,531694677.837171,531694431.173813,941028837.768192,941028841.104833,222016633.986159,222016637.3228,,,,331933956.341591,1,753867157.027858,753867410.364499,438677456.388509,438677459.725151,998762632.17697,998762635.513611
,,,476929094.10882,1,533015197.150744,533014950.487385,911932772.835596,911932776.172237,114234910.819642,114234914.156284,,,,332933956.341591,1,87967109.6925538,87967363.0291955,21445663.3179748,21445666.6546164,788126120.593171,788126123.929812
,,,477929094.10882,1,51660540.6265991,51660293.9632407,755501546.218101,755501549.554742,84942558.5058426,84942561.8424843,,,,333933956.341591,1,734945493.55049,734945746.887131,489521135.475897,489521138.812539,687133809.987694,687133813.324336
,,,478929094.10882,1,907497334.567312,907497087.903954,422354092.80941,422354096.146052,248891149.972159,248891153.308801,,,,334933956.341591,1,273607897.028019,273608150.364661,553365092.327475,553365095.664116,447938814.882683,447938818.219324
,,,479929094.10882,1,129314045.552568,129313798.88921,783578888.382823,783578891.719465,253931027.647589,253931030.984231,,,,335933956.341591,1,862681063.467811,862681316.804453,557717304.496772,557717307.833414,489181188.37664,489181191.713282
,,,480929094.10882,1,14908322.9455116,14908076.2821533,944679838.46138,944679841.798022,345278204.056633,345278207.393274,,,,336933956.341591,1,557270525.390298,557270778.726939,727556838.292207,727556841.628849,255881488.744603,255881492.081245
,,,481929094.10882,1,892082196.23909,892081949.575731,882077381.374642,882077384.711283,769360091.735519,769360095.072161,,,,337933956.341591,1,699780076.950275,699780330.286917,56920432.5283321,56920435.8649738,148354036.013266,148354039.349907
,,,482929094.10882,1,404659476.458863,404659229.795504,897703522.540663,897703525.877305,369676469.496671,369676472.833313,,,,338933956.341591,1,737314259.494601,737314512.831243,362258725.572427,362258728.909068,917444301.314984,917444304.651626
,,,483929094.10882,1,211020166.219211,211019919.555852,835540449.498974,835540452.835616,548568595.949555,548568599.286197,,,,339933956.341591,1,660836117.949393,660836371.286035,973157655.290607,973157658.627249,224889872.091216,224889875.427858
,,,484929094.10882,1,679557698.97036,679557452.307002,217526607.810173,217526611.146815,701331606.861332,701331610.197973,,,,340933956.341591,1,537708364.157476,537708617.494118,657916103.338916,657916106.675558,984645912.119404,984645915.456046
,,,485929094.10882,1,835981876.248189,835981629.584831,471473024.286682,471473027.623324,746874618.084908,746874621.421549,,,,341933956.341591,1,805704194.841256,805704448.177898,45080448.1325981,45080451.4692397,544584950.497845,544584953.834486
,,,486929094.10882,1,284261612.607414,284261365.944056,100158554.969739,100158558.306381,952471332.04721,952471335.383851,,,,342933956.341591,1,221071352.434548,221071605.771189,361155250.26522,361155253.601862,166547733.490892,166547736.827533
,,,487929094.10882,1,475462584.490177,475462337.826819,51144277.2488162,51144280.5854578,296992102.456782,296992105.793424,,,,343933956.341591,1,250219948.565297,250220201.901938,697951652.976922,697951656.313563,956077414.267302,956077417.603944
,,,488929094.10882,1,776984908.234351,776984661.570993,419680651.95241,419680655.289052,202200941.87931,202200945.215952,,,,344933956.341591,1,558345737.482629,558345990.819271,174454640.195764,174454643.532406,276461326.034261,276461329.370902
,,,489929094.10882,1,628724629.703826,628724383.040468,841992658.075459,841992661.412101,552230004.334131,552230007.670772,,,,345933956.341591,1,588226368.710305,588226622.046947,106575745.117061,106575748.453702,55908442.3217781,55908445.6584198
,,,490929094.10882,1,2951724.11856722,2951477.45520886,869787360.97621,869787364.312852,62219796.0190547,62219799.3556964,,,,346933956.341591,1,147362444.324428,147362697.661069,185332626.689281,185332630.025922,591299178.893656,591299182.230298
,,,491929094.10882,1,104963186.7574,104962940.094042,946787141.618623,946787144.955265,833158337.7963,833158341.132942,,,,347933956.341591,1,168848240.317567,168848493.654209,131340179.539252,131340182.875893,267832503.579957,267832506.916598
,,,492929094.10882,1,133359208.316343,133358961.652985,825767266.351697,825767269.688339,798837347.481182,798837350.817823,,,,348933956.341591,1,134965671.340876,134965924.677517,109433487.252252,109433490.588894,292217220.156562,292217223.493203
,,,493929094.10882,1,482540015.007656,482539768.344298,412129619.227888,412129622.56453,683002006.490714,683002009.827356,,,,349933956.341591,1,10919748.5114445,10920001.8480862,940802207.044052,940802210.380694,157269241.816481,157269245.153122
,,,494929094.10882,1,530697230.632797,530696983.969439,999502495.620851,999502498.957492,564005207.36627,564005210.702911,,,,350933956.341591,1,140556523.277294,140556776.613935,467535538.061312,467535541.397954,416324272.861153,416324276.197794
,,,495929094.10882,1,549716966.934868,549716720.27151,570584433.403328,570584436.739969,305911671.801441,305911675.138082,,,,351933956.341591,1,411684475.653183,411684728.989825,488436726.901879,488436730.238521,718362955.737122,718362959.073763
,,,496929094.10882,1,487618250.932794,487618004.269435,153454222.976591,153454226.313233,641724874.255562,641724877.592204,,,,352933956.341591,1,644746879.203079,644747132.539721,486390324.212033,486390327.548675,104799940.85437,104799944.191012
,,,497929094.10882,1,659403548.618668,659403301.95531,396701169.214477,396701172.551118,262916941.421486,262916944.758127,,,,353933956.341591,1,288306386.24199,288306639.578631,383930801.643588,383930804.98023,688046069.046588,688046072.38323
,,,498929094.10882,1,219112778.834182,219112532.170823,793911854.665097,793911858.001738,649170670.082575,649170673.419217,,,,354933956.341591,1,163478997.656928,163479250.99357,111705285.215392,111705288.552034,864166179.617369,864166182.95401
,,,499929094.10882,1,754047347.257235,754047100.593877,312421691.833557,312421695.170198,306452326.398765,306452329.735407,,,,355933956.341591,1,114676779.299868,114677032.63651,173581113.588807,173581116.925449,683438957.70952,683438961.046162
,,,500929094.10882,1,19964821.5653565,19964574.9019981,36331822.5519448,36331825.8885865,576295769.710848,576295773.04749,,,,356933956.341591,1,624204639.249537,624204892.586179,985052721.336344,985052724.672985,729883087.816921,729883091.153563
,,,501929094.10882,1,447200104.237826,447199857.574468,566309432.017666,566309435.354308,261591762.847444,261591766.184086,,,,357933956.341591,1,853346077.007348,853346330.34399,312656742.780593,312656746.117235,370068826.431554,370068829.768195
,,,502929094.10882,1,186709472.525453,186709225.862095,165178943.685491,165178947.022132,714426621.603494,714426624.940135,,,,358933956.341591,1,922473849.716995,922474103.053637,319071770.085738,319071773.422379,344820334.292879,344820337.62952
,,,503929094.10882,1,754678062.331937,754677815.668579,515534053.500378,515534056.83702,678990142.646235,678990145.982876,,,,359933956.341591,1,457729429.518728,457729682.85537,642686948.599354,642686951.935996,813277445.713657,813277449.050299
,,,504929094.10882,1,931056206.870727,931055960.207369,409384352.268751,409384355.605393,630232470.426661,630232473.763302,,,,360933956.341591,1,266965097.150288,266965350.486929,279329154.270178,279329157.60682,304139534.582095,304139537.918737
,,,505929094.10882,1,58048144.2505764,58047897.5872181,550576187.364538,550576190.701179,778526526.189414,778526529.526055,,,,361933956.341591,1,361528375.847952,361528629.184594,856702046.957373,856702050.294015,619914168.970182,619914172.306823
,,,506929094.10882,1,503834252.749919,503834006.08656,851398181.807947,851398185.144588,134708244.598857,134708247.935498,,,,362933956.341591,1,356221907.627957,356222160.964598,83422593.9229397,83422597.2595814,638562720.074363,638562723.411005
,,,507929094.10882,1,155802641.451199,155802394.787841,567319752.25314,567319755.589782,734806382.681932,734806386.018574,,,,363933956.341591,1,99564107.5545767,99564360.8912183,818036705.587257,818036708.923898,414925187.560607,414925190.897249
,,,508929094.10882,1,875492044.586264,875491797.922905,182815623.84848,182815627.185121,967452113.839067,967452117.175709,,,,364933956.341591,1,197088188.068809,197088441.405451,853059246.967658,853059250.304299,439188875.493364,439188878.830005
