self_id,,target_id,,gt,tx1,rx1,tx2,rx2,tx3,rx3
,,,966668812.846875,0.110489255136999,595343992.906497,595344493.27516,418872485.82179,418872486.190453,978879476.117816,978879476.486479
,,,967668812.846875,0.109449975010437,712462125.623703,712462625.988899,393973231.512405,393973231.8776,617290681.328666,617290681.693862
,,,968668812.846875,0.105225757126093,192772432.624472,192772932.975573,798189616.800102,798189617.151203,718900959.719861,718900960.070961
,,,969668812.846875,0.109141246263408,537692861.056971,537693361.421136,838468048.573684,838468048.937849,163954816.104242,163954816.468407
,,,970668812.846875,0.109155343802445,746813367.626693,746813867.990905,72039460.112895,72039460.4771072,57292010.9443537,57292011.308566
,,,971668812.846875,0.1064847828452,690087247.87552,690087748.230822,86928238.2091222,86928238.5644238,52410657.6797144,52410658.035016
,,,972668812.846875,0.112054819400077,200101928.515859,200102428.889746,548796690.434217,548796690.808104,859041841.220555,859041841.594442
,,,973668812.846875,0.108317385909885,240455303.132713,240455803.494129,490991506.091854,490991506.45327,629923760.716966,629923761.078382
,,,974668812.846875,0.104898311808148,742763562.376316,742764062.726324,846381362.683143,846381363.033152,694990489.9828,694990490.332808
,,,975668812.846875,0.105235745144617,325087518.993067,325088019.344201,2161353.80189105,2161354.15302502,78077084.443551,78077084.7946849
,,,976668812.846875,0.10367470244622,438671542.959768,438672043.305693,929462846.307977,929462846.653902,158069294.390631,158069294.736556
,,,977668812.846875,0.105827153092831,63672678.57091,63673178.9240173,724350939.666332,724350940.019439,267732208.405715,267732208.758822
,,,978668812.846875,0.108827399582902,75216891.9005267,75217392.2636447,628890024.980087,628890025.343205,988601383.447422,988601383.81054
,,,979668812.846875,0.102728999680994,497161043.8059,497161544.14867,706769088.726335,706769089.069105,225734799.478199,225734799.820969
,,,980668812.846875,0.105308915890445,753756410.607891,753756910.959269,289934364.974027,289934365.325405,37284681.8563044,37284682.2076826
,,,981668812.846875,0.103730164575578,744263752.1358,744264252.48191,65026190.4159524,65026190.7620628,316062048.61086,316062048.956971
,,,982668812.846875,0.106123765630242,506025988.942391,506026489.296488,310388882.029696,310388882.383793,808132676.696437,808132677.050534
,,,983668812.846875,0.106490771534227,101062377.178709,101062877.534031,310079632.717061,310079633.072382,773989628.066175,773989628.421497
,,,984668812.846875,0.106923692730872,788707447.181601,788707947.538367,845280794.309961,845280794.666727,577373924.9052,577373925.261966
,,,985668812.846875,0.107553384787651,812392321.481306,812392821.840173,212762556.042886,212762556.401753,258390842.978016,258390843.336883
,,,986668812.846875,0.104423140960414,772202999.819312,772203500.167735,100705947.364857,100705947.71328,483770486.398216,483770486.746639
,,,987668812.846875,0.110960856269273,322994465.004352,322994965.374588,905207208.392004,905207208.762241,769159617.231033,769159617.601269
,,,988668812.846875,0.10362547147444,688002082.195488,688002582.541249,907290633.982915,907290634.328676,238467406.024076,238467406.369837
,,,989668812.846875,0.104378272284506,822724227.62527,822724727.973543,375543589.876689,375543590.224962,229230261.161717,229230261.50999
,,,990668812.846875,0.106884728107611,981154423.352622,981154923.709258,854892899.112015,854892899.468651,223925521.31288,223925521.669516
,,,991668812.846875,0.105598084493244,211661756.199111,211662256.551454,56163113.0162766,56163113.3686195,240236560.978224,240236561.330567
,,,992668812.846875,0.112363780289134,109464172.44649,109464672.821408,388072048.14382,388072048.518738,265972976.296632,265972976.67155
,,,993668812.846875,0.104991711657628,23802774.5471856,23803274.8975053,792625770.722616,792625771.072936,558021313.868989,558021314.219309
,,,994668812.846875,0.10979567499504,303887731.688163,303888232.054512,432965756.375195,432965756.741543,568409613.514392,568409613.880741
,,,995668812.846875,0.104426105896176,897899389.194392,897899889.542825,608087410.88031,608087411.228742,164335541.864371,164335542.212803
,,,996668812.846875,0.111454682269648,612084132.863476,612084633.235361,965226674.83544,965226675.207324,945637287.917991,945637288.289875
,,,997668812.846875,0.104111940382533,152226635.585968,152227135.933352,968246370.905637,968246371.253022,949452050.843759,949452051.191143
,,,998668812.846875,0.106519563319098,208316192.011785,208316692.367203,550633416.422174,550633416.777592,45976196.6056628,45976196.9610804
,,,999668812.846875,0.111092015309625,648532804.773456,648533305.14413,583432362.417312,583432362.787987,338559180.143043,338559180.513717
,,,1000668812.84687,0.110279919329148,911093728.23411,911094228.602075,956150660.47725,956150660.845215,593082505.716356,593082506.084321
,,,1001668812.84687,0.110397550544828,282551414.419206,282551914.787563,195123750.110467,195123750.478824,36281243.3692191,36281243.7375761
,,,1002668812.84687,0.10753222027691,996392367.507558,996392867.866355,887108609.305247,887108609.664044,553749357.802118,553749358.160914
,,,1003668812.84687,0.111833436899436,173976874.553126,173977374.926274,523173200.858662,523173201.23181,130866561.08576,130866561.458908
,,,1004668812.84687,0.105872361127418,6962153.98275748,6962654.33601561,691691041.030708,691691041.383966,134926059.87421,134926060.227468
,,,1005668812.84687,0.104063677649103,747328397.54444,747328897.891663,988082731.527997,988082731.875221,133021778.205649,133021778.552872
,,,1006668812.84687,0.108174113939595,342195521.878067,342196022.239005,667624302.458453,667624302.819391,226242707.326203,226242707.687141
,,,1007668812.84687,0.109794165273997,758017747.987633,758018248.353977,958989803.280247,958989803.646591,296859200.361115,296859200.727459
,,,1008668812.84687,0.102739405145368,506598161.098047,506598661.440852,991478982.085651,991478982.428456,511532901.919675,511532902.262479
,,,1009668812.84687,0.106497526907763,880434665.451715,880435165.807059,411359010.411581,411359010.766925,336059735.168759,336059735.524103
,,,1010668812.84687,0.112208461530429,915965388.487384,915965888.861783,422747302.698982,422747303.073382,58330024.5927033,58330024.9671027
,,,1011668812.84687,0.107286930656136,989849032.315826,989849532.673804,698406880.99637,698406881.354348,643578093.997005,643578094.354983
,,,1012668812.84687,0.104477786148672,622556539.940471,622557040.289076,858358623.712597,858358624.061202,440313780.335902,440313780.684507
,,,1013668812.84687,0.109609451019696,85672818.8240068,85673319.1897343,168082382.870587,168082383.236314,782174836.423637,782174836.789365
,,,1014668812.84687,0.10750806001803,439442151.484469,439442651.843185,454917498.496135,454917498.854851,229339355.788389,229339356.147105
,,,1015668812.84687,0.108199276858795,182801302.587552,182801802.948574,694023294.257899,694023294.618922,50674300.1884992,50674300.5495214
,,,1016668812.84687,0.1034606056291,645613724.073114,645614224.418325,737982330.711039,737982331.05625,46633062.238168,46633062.583379
,,,1017668812.84687,0.106310866793253,700940657.304161,700941157.658883,893871496.209363,893871496.564084,681738087.074271,681738087.428993
,,,1018668812.84687,0.106498941447571,883269054.30705,883269554.662399,617225261.578861,617225261.934209,910534021.520706,910534021.876055
,,,1019668812.84687,0.109856809628882,628351654.595765,628352154.962318,487581813.773196,487581814.139749,129805951.435522,129805951.802075
,,,1020668812.84687,0.10976244610648,152024500.079381,152025000.445619,996986588.965412,996986589.33165,322127422.790537,322127423.156775
,,,1021668812.84687,0.112211493022317,617414326.195152,617414826.569562,295420107.303343,295420107.677753,67665657.919858,67665658.2942676
,,,1022668812.84687,0.107581949650755,322705743.915053,322706244.274016,711674763.701347,711674764.060309,40725258.4610234,40725258.8199858
,,,1023668812.84687,0.112083464119741,842239804.354349,842240304.728331,989777108.310812,989777108.684794,181232186.706278,181232187.08026
,,,1024668812.84687,0.10931991445637,721078669.051569,721079169.41633,745618222.667551,745618223.032312,161457096.177369,161457096.542131
,,,1025668812.84687,0.111555571657566,441182120.254971,441182620.627192,436155162.364481,436155162.736702,185512385.943497,185512386.315718
,,,1026668812.84687,0.104960610284878,217375336.112425,217375836.462641,374270625.853851,374270626.204067,609333381.795804,609333382.14602
,,,1027668812.84687,0.104791645180684,486629328.419717,486629828.76937,370745963.71833,370745964.067982,919024438.281457,919024438.631109
,,,1028668812.84687,0.109548721445513,682636565.594078,682637065.959603,590359203.621106,590359203.986631,597129222.703567,597129223.069091
,,,1029668812.84687,0.10696640569112,925119110.583608,925119610.940516,275012932.760057,275012933.116965,69431090.07232,69431090.4292286
,,,1030668812.84687,0.110649516768831,756040129.189413,756040629.558611,554323717.364926,554323717.734123,2491785.57788962,2491785.9470874
,,,1031668812.84687,0.10856920950984,679658416.661838,679658917.024095,197710654.0009,197710654.363157,475417036.215582,475417036.577838
,,,1032668812.84687,0.107701197731162,58867943.40069,58868443.7600503,506255535.3269,506255535.68626,282003030.292597,282003030.651957
,,,1033668812.84687,0.103650268810628,400747474.403038,400747974.748882,51328795.3492321,51328795.6950759,273909689.41964,273909689.765484
